Country,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Czechia,CZE,132.7172641,132.2195548,131.964747,131.9269833,131.9842221,132.1669169,132.5424595,133.3181618,134.4459218,135.214086,135.6261815,135.9068756,136.0971773,136.1599586,136.30338,136.589289,136.8518586,137.2158788,137.6755343,138.2268103,138.5759288,136.1083491,
Germany,DEU,235.5968133,236.0273001,236.4515708,236.6164273,236.5921954,236.4646806,236.2251979,235.9433619,235.5221782,234.9396374,234.6069082,230.3046333,230.7506255,231.1557126,232.1080539,234.1529869,235.7129294,236.5887226,237.2940123,237.8229543,238.0173188,238.1180858,
Djibouti,DJI,32.01177739,33.02372735,34.0435289,34.78908542,35.30513374,35.84387403,36.53783434,37.32510785,38.08826575,38.87415876,39.65483175,40.41462468,41.16898188,41.92204487,42.66984469,43.41065574,44.14413287,44.87631579,45.60819672,46.33278689,47.03002588,47.69443486,
Dominica,DMA,91.128,90.87066667,91.016,91.256,91.432,91.56533333,91.656,91.7,91.70933333,91.716,91.67333333,91.656,91.85066667,91.75866667,92.49466667,93.34266667,93.43333333,93.87066667,94.43066667,95.23733333,95.99333333,96.54933333,
Denmark,DNK,133.4904,133.969575,134.398275,134.76435,135.113075,135.4858,135.9318,136.53595,137.340525,138.077375,138.692075,139.2643,139.7893,140.3733,141.086875,142.087075,143.20025,144.1245,144.8409,145.36055,145.7851,146.418325,
Dominican Republic,DOM,176.7913682,179.4460774,182.0554958,184.6377976,187.1895467,189.7074726,192.1790106,194.6223556,197.1216725,199.7114676,202.3546885,205.0038708,207.6357276,210.2473815,212.8361623,215.3970606,217.9174498,220.3942041,222.8427034,228.9428373,231.4208411,233.9078286,
Algeria,DZA,12.92106653,13.10008019,13.27797996,13.45901862,13.64976278,13.83723244,14.0380898,14.26848732,14.51442727,14.77744716,15.05468439,15.34321169,15.64426134,15.95498501,16.27388716,16.60262556,16.93690834,17.27162861,17.6035123,17.93031568,18.24365706,18.54860331,
East Asia & Pacific (excluding high income),EAP,113.7404319,114.8103858,115.8390957,116.7766987,117.738033,118.6707415,119.5819737,120.4956952,121.4000844,122.293262,123.1755986,124.1190884,125.1819801,126.2372086,127.2474573,128.2164581,129.183107,130.16861,131.0198827,131.7621849,132.3850799,132.7137416,
Early-demographic dividend,EAR,75.30659268,76.71196735,78.07879965,79.42101863,80.46468999,81.79899723,83.13155102,84.47218965,85.78630914,87.09551044,88.44127193,89.79261818,91.11098777,92.41923704,93.73654188,95.04529557,96.35073632,97.64253316,98.89641922,100.1345822,101.3253382,102.3825226,
East Asia & Pacific,EAS,83.77918105,84.5299936,85.24505098,85.90187568,86.55905775,87.19814236,87.83660207,88.48104016,89.12495362,89.7485609,90.36151648,91.00710876,91.73363157,92.4505195,93.14241874,93.80767555,94.43404592,95.1049513,95.68746023,96.19695991,96.60801415,96.80415288,
